timestamp_ms,ecg_mV,ppg_au,pcg_au,spo2_pct,temp_c
1711780800000,0.0000,0.4509,0.0300,98.00,36.60
1711780800004,0.0009,0.4563,0.0353,98.00,36.60
1711780800008,0.0018,0.4618,0.0389,98.00,36.60
1711780800012,0.0027,0.4674,0.0400,98.00,36.60
1711780800016,0.0036,0.4731,0.0380,98.00,36.60
1711780800020,0.0045,0.4788,0.0337,98.00,36.60
1711780800024,0.0054,0.4846,0.0282,98.00,36.60
1711780800028,0.0063,0.4905,0.0233,98.00,36.60
1711780800032,0.0072,0.4964,0.0204,98.00,36.60
1711780800036,0.0080,0.5024,0.0203,98.00,36.60
1711780800040,0.0089,0.5084,0.0232,98.01,36.60
1711780800044,0.0096,0.5144,0.0280,98.01,36.60
1711780800048,0.0102,0.5204,0.0334,98.01,36.60
1711780800052,0.0103,0.5264,0.0379,98.01,36.60
1711780800056,0.0095,0.5324,0.0399,98.01,36.60
1711780800060,0.0069,0.5384,0.0391,98.01,36.60
1711780800064,0.0015,0.5443,0.0355,98.01,36.60
1711780800068,-0.0077,0.5503,0.0304,98.01,36.60
1711780800072,-0.0213,0.5562,0.0254,98.01,36.60
1711780800076,-0.0383,0.5620,0.0225,98.01,36.60
1711780800080,-0.0564,0.5678,0.0236,98.01,36.60
1711780800084,-0.0716,0.5736,0.0304,98.01,36.60
1711780800088,-0.0794,0.5793,0.0442,98.01,36.60
1711780800092,-0.0751,0.5849,0.0653,98.01,36.60
1711780800096,-0.0504,0.5904,0.0923,98.01,36.60
1711780800100,0.0124,0.5958,0.1207,98.01,36.60
1711780800104,0.1440,0.6012,0.1440,98.01,36.60
1711780800108,0.3713,0.6065,0.1552,98.01,36.60
1711780800112,0.6732,0.6116,0.1504,98.01,36.60
1711780800116,0.9502,0.6167,0.1310,98.02,36.60
1711780800120,1.0674,0.6217,0.1035,98.02,36.60
1711780800124,0.9609,0.6265,0.0759,98.02,36.60
1711780800128,0.6967,0.6313,0.0547,98.02,36.60
1711780800132,0.4110,0.6359,0.0424,98.02,36.60
1711780800136,0.2030,0.6404,0.0381,98.02,36.60
1711780800140,0.0913,0.6448,0.0384,98.02,36.60
1711780800144,0.0458,0.6491,0.0400,98.02,36.60
1711780800148,0.0315,0.6532,0.0404,98.02,36.60
1711780800152,0.0282,0.6572,0.0384,98.02,36.60
1711780800156,0.0278,0.6611,0.0342,98.02,36.60
1711780800160,0.0280,0.6649,0.0288,98.02,36.60
1711780800164,0.0283,0.6685,0.0237,98.02,36.60
1711780800168,0.0286,0.6720,0.0206,98.02,36.60
1711780800172,0.0289,0.6754,0.0202,98.02,36.60
1711780800176,0.0291,0.6787,0.0228,98.02,36.60
1711780800180,0.0293,0.6818,0.0275,98.02,36.60
1711780800184,0.0295,0.6848,0.0330,98.02,36.60
1711780800188,0.0296,0.6877,0.0375,98.02,36.60
1711780800192,0.0298,0.6905,0.0399,98.03,36.60
1711780800196,0.0299,0.6932,0.0393,98.03,36.60
1711780800200,0.0300,0.6957,0.0359,98.03,36.60
1711780800204,0.0300,0.6981,0.0308,98.03,36.60
1711780800208,0.0300,0.7004,0.0254,98.03,36.60
1711780800212,0.0301,0.7026,0.0214,98.03,36.60
1711780800216,0.0301,0.7047,0.0200,98.03,36.60
1711780800220,0.0301,0.7067,0.0216,98.03,36.60
1711780800224,0.0302,0.7086,0.0256,98.03,36.60
1711780800228,0.0304,0.7103,0.0310,98.03,36.60
1711780800232,0.0308,0.7120,0.0361,98.03,36.60
1711780800236,0.0314,0.7136,0.0393,98.03,36.60
1711780800240,0.0324,0.7151,0.0398,98.03,36.60
1711780800244,0.0341,0.7165,0.0374,98.03,36.60
1711780800248,0.0365,0.7178,0.0327,98.03,36.60
1711780800252,0.0399,0.7191,0.0273,98.03,36.60
1711780800256,0.0447,0.7202,0.0226,98.03,36.60
1711780800260,0.0511,0.7213,0.0202,98.03,36.60
1711780800264,0.0594,0.7223,0.0207,98.03,36.60
1711780800268,0.0697,0.7233,0.0239,98.04,36.60
1711780800272,0.0820,0.7241,0.0290,98.04,36.60
1711780800276,0.0962,0.7249,0.0344,98.04,36.60
1711780800280,0.1121,0.7256,0.0384,98.04,36.60
1711780800284,0.1289,0.7263,0.0400,98.04,36.60
1711780800288,0.1460,0.7269,0.0386,98.04,36.60
1711780800292,0.1624,0.7275,0.0346,98.04,36.60
1711780800296,0.1771,0.7280,0.0292,98.04,36.60
1711780800300,0.1890,0.7284,0.0241,98.04,36.60
1711780800304,0.1973,0.7288,0.0207,98.04,36.60
1711780800308,0.2013,0.7291,0.0201,98.04,36.60
1711780800312,0.2007,0.7294,0.0225,98.04,36.60
1711780800316,0.1954,0.7296,0.0270,98.04,36.60
1711780800320,0.1859,0.7298,0.0325,98.04,36.60
1711780800324,0.1727,0.7299,0.0372,98.04,36.60
1711780800328,0.1568,0.7300,0.0398,98.04,36.60
1711780800332,0.1391,0.7300,0.0395,98.04,36.60
1711780800336,0.1208,0.7300,0.0363,98.04,36.60
1711780800340,0.1027,0.7299,0.0314,98.04,36.60
1711780800344,0.0857,0.7298,0.0264,98.05,36.60
1711780800348,0.0702,0.7296,0.0229,98.05,36.60
1711780800352,0.0567,0.7294,0.0227,98.05,36.60
1711780800356,0.0452,0.7291,0.0269,98.05,36.60
1711780800360,0.0358,0.7288,0.0357,98.05,36.60
1711780800364,0.0283,0.7284,0.0490,98.05,36.60
1711780800368,0.0223,0.7279,0.0655,98.05,36.60
1711780800372,0.0177,0.7274,0.0836,98.05,36.60
1711780800376,0.0142,0.7268,0.1012,98.05,36.60
1711780800380,0.0115,0.7261,0.1156,98.05,36.60
1711780800384,0.0094,0.7254,0.1246,98.05,36.60
1711780800388,0.0077,0.7246,0.1268,98.05,36.60
1711780800392,0.0063,0.7238,0.1220,98.05,36.60
1711780800396,0.0051,0.7228,0.1117,98.05,36.60
1711780800400,0.0040,0.7218,0.0984,98.05,36.60
1711780800404,0.0030,0.7207,0.0848,98.05,36.60
1711780800408,0.0020,0.7195,0.0730,98.05,36.60
1711780800412,0.0011,0.7182,0.0637,98.05,36.60
1711780800416,0.0002,0.7169,0.0566,98.05,36.60
1711780800420,-0.0007,0.7154,0.0505,98.06,36.60
1711780800424,-0.0017,0.7138,0.0444,98.06,36.60
1711780800428,-0.0026,0.7122,0.0377,98.06,36.60
1711780800432,-0.0035,0.7104,0.0310,98.06,36.60
1711780800436,-0.0044,0.7085,0.0250,98.06,36.60
1711780800440,-0.0053,0.7066,0.0211,98.06,36.60
1711780800444,-0.0061,0.7045,0.0201,98.06,36.60
1711780800448,-0.0070,0.7023,0.0222,98.06,36.60
1711780800452,-0.0079,0.7000,0.0266,98.06,36.60
1711780800456,-0.0088,0.6975,0.0320,98.06,36.60
1711780800460,-0.0096,0.6950,0.0368,98.06,36.60
1711780800464,-0.0105,0.6923,0.0397,98.06,36.60
1711780800468,-0.0113,0.6895,0.0396,98.06,36.60
1711780800472,-0.0122,0.6865,0.0367,98.06,36.60
1711780800476,-0.0130,0.6835,0.0318,98.06,36.60
1711780800480,-0.0138,0.6803,0.0263,98.06,36.60
1711780800484,-0.0146,0.6770,0.0220,98.06,36.60
1711780800488,-0.0154,0.6735,0.0200,98.06,36.60
1711780800492,-0.0161,0.6699,0.0211,98.06,36.60
1711780800496,-0.0169,0.6662,0.0247,98.07,36.60
1711780800500,-0.0176,0.6624,0.0300,98.07,36.60
1711780800504,-0.0184,0.6584,0.0353,98.07,36.60
1711780800508,-0.0191,0.6543,0.0389,98.07,36.60
1711780800512,-0.0198,0.6501,0.0400,98.07,36.60
1711780800516,-0.0204,0.6457,0.0380,98.07,36.60
1711780800520,-0.0211,0.6413,0.0337,98.07,36.60
1711780800524,-0.0217,0.6367,0.0282,98.07,36.60
1711780800528,-0.0223,0.6320,0.0233,98.07,36.60
1711780800532,-0.0229,0.6271,0.0204,98.07,36.60
1711780800536,-0.0235,0.6222,0.0203,98.07,36.60
1711780800540,-0.0240,0.6171,0.0232,98.07,36.60
1711780800544,-0.0246,0.6119,0.0280,98.07,36.60
1711780800548,-0.0251,0.6067,0.0334,98.07,36.60
1711780800552,-0.0256,0.6013,0.0379,98.07,36.60
1711780800556,-0.0260,0.5959,0.0399,98.07,36.60
1711780800560,-0.0265,0.5903,0.0390,98.07,36.60
1711780800564,-0.0269,0.5847,0.0355,98.07,36.60
1711780800568,-0.0273,0.5790,0.0303,98.07,36.60
1711780800572,-0.0276,0.5732,0.0250,98.07,36.60
1711780800576,-0.0280,0.5674,0.0212,98.08,36.60
1711780800580,-0.0283,0.5615,0.0200,98.08,36.60
1711780800584,-0.0286,0.5556,0.0218,98.08,36.60
1711780800588,-0.0288,0.5496,0.0261,98.08,36.60
1711780800592,-0.0291,0.5436,0.0315,98.08,36.60
1711780800596,-0.0293,0.5375,0.0365,98.08,36.60
1711780800600,-0.0295,0.5315,0.0395,98.08,36.60
1711780800604,-0.0296,0.5254,0.0397,98.08,36.60
1711780800608,-0.0298,0.5193,0.0370,98.08,36.60
1711780800612,-0.0299,0.5133,0.0322,98.08,36.60
1711780800616,-0.0299,0.5072,0.0268,98.08,36.60
1711780800620,-0.0300,0.5012,0.0223,98.08,36.60
1711780800624,-0.0300,0.4952,0.0201,98.08,36.60
1711780800628,-0.0300,0.4892,0.0208,98.08,36.60
1711780800632,-0.0300,0.4833,0.0243,98.08,36.60
1711780800636,-0.0299,0.4775,0.0295,98.08,36.60
1711780800640,-0.0298,0.4717,0.0348,98.08,36.60
1711780800644,-0.0297,0.4660,0.0387,98.08,36.60
1711780800648,-0.0296,0.4604,0.0400,98.08,36.60
1711780800652,-0.0294,0.4548,0.0383,98.09,36.60
1711780800656,-0.0292,0.4494,0.0341,98.09,36.60
1711780800660,-0.0290,0.4441,0.0287,98.09,36.60
1711780800664,-0.0287,0.4389,0.0237,98.09,36.60
1711780800668,-0.0284,0.4339,0.0206,98.09,36.60
1711780800672,-0.0281,0.4290,0.0202,98.09,36.60
1711780800676,-0.0278,0.4242,0.0228,98.09,36.60
1711780800680,-0.0275,0.4196,0.0275,98.09,36.60
1711780800684,-0.0271,0.4151,0.0330,98.09,36.60
1711780800688,-0.0267,0.4109,0.0375,98.09,36.60
1711780800692,-0.0263,0.4068,0.0399,98.09,36.60
1711780800696,-0.0258,0.4029,0.0393,98.09,36.60
1711780800700,-0.0253,0.3991,0.0359,98.09,36.60
1711780800704,-0.0248,0.3956,0.0308,98.09,36.60
1711780800708,-0.0243,0.3923,0.0254,98.09,36.60
1711780800712,-0.0238,0.3892,0.0214,98.09,36.60
1711780800716,-0.0232,0.3863,0.0200,98.09,36.60
1711780800720,-0.0226,0.3837,0.0216,98.09,36.60
1711780800724,-0.0220,0.3812,0.0256,98.09,36.60
1711780800728,-0.0214,0.3790,0.0310,98.09,36.60
1711780800732,-0.0208,0.3770,0.0361,98.10,36.60
1711780800736,-0.0201,0.3753,0.0393,98.10,36.60
1711780800740,-0.0194,0.3738,0.0398,98.10,36.60
1711780800744,-0.0187,0.3726,0.0374,98.10,36.60
1711780800748,-0.0180,0.3716,0.0327,98.10,36.60
1711780800752,-0.0173,0.3708,0.0273,98.10,36.60
1711780800756,-0.0165,0.3703,0.0226,98.10,36.60
1711780800760,-0.0158,0.3700,0.0202,98.10,36.60
1711780800764,-0.0150,0.3700,0.0207,98.10,36.60
1711780800768,-0.0142,0.3703,0.0239,98.10,36.60
1711780800772,-0.0134,0.3708,0.0290,98.10,36.60
1711780800776,-0.0126,0.3715,0.0344,98.10,36.60
1711780800780,-0.0117,0.3725,0.0384,98.10,36.60
1711780800784,-0.0109,0.3738,0.0400,98.10,36.60
1711780800788,-0.0101,0.3752,0.0386,98.10,36.60
1711780800792,-0.0092,0.3770,0.0346,98.10,36.60
